"","country","name","pvalue","x.l1","x.l2","x.l3"
"1","AT","family_benefit",0.0102499712051867,-0.072781022676756,0.0677451259821908,-0.0851570996898051
"2","AU","family_benefit",0.603080290775253,-0.0437354890245005,0.0364589515356295,0.00505229379438338
"3","BE","family_benefit",0.659134711624044,0.0323381335602969,0.0304271776320239,-0.044241848551989
"4","CA","family_benefit",0.283005109975238,-0.0397547424671892,0.0439460431950742,-0.0281745560301748
"5","CH","family_benefit",0.357884802680651,0.0880987312650466,-0.0695751298762729,-0.046945044414014
"6","DE","family_benefit",0.332129313281687,-0.0605428579459078,0.0518315106473828,0.0346250910515131
"7","DK","family_benefit",0.00714219630712231,0.182370894335474,-0.218155718324468,0.135008417457224
"8","ES","family_benefit",0.78098520090648,0.040245115732826,0.0166328853488985,-0.0432333748955494
"9","FI","family_benefit",0.321922897126311,0.026307564966296,-0.0901243360005164,0.0722531396603391
"10","FR","family_benefit",0.044542873294983,0.0646935266441413,-0.0159749026326394,0.0518746500105322
"11","GB","family_benefit",0.98659602085405,-0.0131904189348028,0.0202087578965675,-0.00704997191597867
"12","GR","family_benefit",0.979792123381443,-0.00126195222905654,0.00667919640814075,-0.0136917429075029
"13","IE","family_benefit",0.650393768533027,-0.020200143533298,0.0608721503880585,-0.0323088505346265
"14","IT","family_benefit",0.3845172911729,0.0530332226287598,-0.0501645382264439,NA
"15","JP","family_benefit",0.916121986648207,-0.00747742461290254,0.0536616406530255,-0.0541412480423184
"16","LU","family_benefit",0.125392812021321,0.0459333650075358,-0.00948609417948561,-0.0547131729606781
"17","NL","family_benefit",0.904790900261921,-0.0120988641215673,0.00625447975619279,-0.009798593184132
"18","NO","family_benefit",0.554938409677766,0.0217951381897613,-0.0618144087757196,0.0227083752860518
"19","PT","family_benefit",0.112434079177304,0.00802285000801844,0.0300700928886129,-0.113531809913925
"20","SE","family_benefit",0.763730047208675,0.00369431344511603,-0.0517714332149566,0.0494739985295405
"21","TR","family_benefit",0.214363335116769,-0.142362763722076,0.166619873885664,-0.143521091939024
